AGE,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
21.1150684932,1,8,0,2,2,3,0,8,8,4,2,0,0,3,4,4.4,-4
21.1260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21.1287671233,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,-0.8,-1
21.1369863014,0,4,0,2,0,0,0,3,3,1,0,0,0,0,0,-1.2,-12
21.1452054795,1,7,0,1,0,0,0,3,3,0,0,1,1,3,2,-3.1,-4
21.1561643836,0,2,0,0,0,0,0,2,2,1,0,1,0,1,0,0.2,0
21.1589041096,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,-3
21.1808219178,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0.6,3
21.1835616438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,6
21.197260274,1,3,0,0,1,2,0,5,5,1,0,1,1,2,3,2,-4
21.2082191781,4,5,1,2,0,0,1,4,5,3,2,0,0,0,9,13.1,7
21.2136986301,3,6,0,0,0,0,0,4,4,3,0,0,0,1,6,5.9,5
21.2191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
21.2219178082,6,7,0,0,3,5,0,5,5,1,0,1,1,2,15,12.8,-15
21.2273972603,1,3,0,0,1,1,0,1,1,1,0,1,0,0,3,3,-4
21.2328767123,1,7,0,0,0,1,2,7,9,1,3,0,0,3,2,3.1,6
21.2356164384,4,8,1,1,2,2,0,8,8,0,2,0,2,4,11,7.8,11
21.2410958904,2,4,1,2,0,0,0,3,3,1,0,0,0,1,5,4.2,-7
21.2493150685,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.1,-2
21.2520547945,0,4,0,0,0,0,0,3,3,1,0,0,1,0,0,-2.2,3
21.2630136986,2,2,0,0,0,0,0,0,0,1,0,0,0,2,4,3.3,3
21.2657534247,2,3,0,0,0,0,0,2,2,2,1,0,2,1,4,3.3,-10
21.2739726027,1,3,0,0,0,0,0,1,1,3,1,0,0,1,2,3.3,-6
21.2904109589,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0.4,6
21.2931506849,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,1
21.301369863,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1.4,1
21.3095890411,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0.3,-5
21.4767123288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-3
